agency_cd,site_no,datetime,discharge-cuft
USGS,9058000,7/12/11,8330
USGS,9058000,7/13/11,9000
USGS,9058000,7/14/11,9200
USGS,9058000,7/15/11,9100
USGS,9058000,7/16/11,8740
USGS,9058000,7/17/11,8090
USGS,9058000,7/18/11,7040
USGS,9058000,7/19/11,6840
USGS,9058000,7/20/11,7340
USGS,9058000,7/21/11,7170
USGS,9058000,7/22/11,6820
USGS,9058000,7/23/11,5630
USGS,9058000,7/24/11,4770
USGS,9058000,7/25/11,4240
USGS,9058000,7/26/11,3660
USGS,9058000,7/27/11,3340
USGS,9058000,7/28/11,3230
USGS,9058000,7/29/11,3070
USGS,9058000,7/30/11,3030
USGS,9058000,7/31/11,2940
USGS,9058000,8/1/11,2880
USGS,9058000,8/2/11,3050
USGS,9058000,8/3/11,3020
USGS,9058000,8/4/11,2980
USGS,9058000,8/5/11,2840
USGS,9058000,8/6/11,2680
USGS,9058000,8/7/11,2550
USGS,9058000,8/8/11,2400
USGS,9058000,8/9/11,2340
USGS,9058000,8/10/11,2190
USGS,9058000,8/11/11,1950
USGS,9058000,8/12/11,1880
USGS,9058000,8/13/11,1820
USGS,9058000,8/14/11,1740
USGS,9058000,8/15/11,1740
USGS,9058000,8/16/11,1630
USGS,9058000,8/17/11,1600
USGS,9058000,8/18/11,1600
USGS,9058000,8/19/11,1580
USGS,9058000,8/20/11,1550
USGS,9058000,8/21/11,1490
USGS,9058000,8/22/11,1480
USGS,9058000,8/23/11,1450
USGS,9058000,8/24/11,1440
USGS,9058000,8/25/11,1410
USGS,9058000,8/26/11,1440
USGS,9058000,8/27/11,1440
USGS,9058000,8/28/11,1420
USGS,9058000,8/29/11,1460
USGS,9058000,8/30/11,1420
USGS,9058000,8/31/11,1340
USGS,9058000,9/1/11,1300
USGS,9058000,9/2/11,1280
USGS,9058000,9/3/11,1390
USGS,9058000,9/4/11,1360
USGS,9058000,9/5/11,1360
USGS,9058000,9/6/11,1420
USGS,9058000,9/7/11,1490
USGS,9058000,9/8/11,1420
USGS,9058000,9/9/11,1340
USGS,9058000,9/10/11,1300
USGS,9058000,9/11/11,1290
USGS,9058000,9/12/11,1280
USGS,9058000,9/13/11,1230
USGS,9058000,9/14/11,1200
USGS,9058000,9/15/11,1210
USGS,9058000,9/16/11,1260
USGS,9058000,9/17/11,1230
USGS,9058000,9/18/11,1210
USGS,9058000,9/19/11,1200
USGS,9058000,9/20/11,1140
USGS,9058000,9/21/11,1080
USGS,9058000,9/22/11,1020
USGS,9058000,9/23/11,1070
USGS,9058000,9/24/11,1060
USGS,9058000,9/25/11,1050
USGS,9058000,9/26/11,1060
USGS,9058000,9/27/11,1050
USGS,9058000,9/28/11,1150
USGS,9058000,9/29/11,1220
USGS,9058000,9/30/11,1240
USGS,9058000,10/1/11,1250
USGS,9058000,10/2/11,1250
USGS,9058000,10/3/11,1230
USGS,9058000,10/4/11,1200
USGS,9058000,10/5/11,1220
