ID,Citation,Site_Name,Drainage area (km^2),tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
921,"King et al., 2004; Mueller et al., 2005","SELWAY RIVER NEAR LOWELL, ID",4959.83,0.0187,0.0021,0.173,89.2,2.54,652
922,"King et al., 2004; Mueller et al., 2005","SOUTH FORK PAYETTE RIVER AT LOWMAN, ID",1155.14,0.0209,0.004,0.11,53,0.95,86.4
923,"King et al., 2004; Mueller et al., 2005","South Fork Salmon River near Krassel Ranger Station, ID",854.7,0.0686,0.0025,0.038,34.2,1.72,70.8
924,"King et al., 2004; Mueller et al., 2005","Squaw Creek below Bruno Creek near Clayton, ID",185.44,0.058,0.01,0.046,11.3,0.44,5.1
925,"King et al., 2004; Mueller et al., 2005","Thompson Creek near Clayton, ID",75.37,0.0494,0.0153,0.062,6.4,0.33,2.5
926,"King et al., 2004; Mueller et al., 2005","Valley Creek at Stanley, ID",380.73,0.0503,0.0042,0.04,24.7,0.79,24.1
927,"Knighton, 1976",Bollin at Jarman Bridge,,0.1147,0.0193,0.0408,3,0.4,1.1
928,"Knighton, 1976",Bollin at Mottram Bridge,,0.1379,0.0094,0.0219,10,0.53,4.8
929,"Knighton, 1976",Dean at Adlington,,0.123,0.0115,0.0238,10,0.42,3.8
930,"Knighton, 1976",Dean at Lowerhouse Mill,,0.1116,0.0125,0.038,5,0.56,3.5
931,"Krstolic and Chaplin, 2007","Aylett Creek at Aylett, VA",15.98,0.1316,0.0015,0.004,5.06,0.58,4.81
932,"Krstolic and Chaplin, 2007","Baily Branch Tributary at Spring Grove, VA",1.84,0.0851,0.0039,0.011,3.14,0.4,1.36
933,"Krstolic and Chaplin, 2007","Bush Mill Stream near Heathsville, VA",17.66,2.3091,0.0025,0.0005,7.1,0.76,1.41
934,"Krstolic and Chaplin, 2007","Cat Point Creek near Montross, VA",118.1,1.4316,0.0025,0.001,9.54,0.94,3.1
935,"Krstolic and Chaplin, 2007","Collins Run Tributary near Providence Forge, VA",0.73,0.3621,0.0049,0.002,2.35,0.24,0.55
936,"Krstolic and Chaplin, 2007","Reedy Creek near Dawn, VA",43.51,5.6157,0.0038,0.00025,7.89,0.61,3.28
937,"Latrubesse (PC), Li et al., 2015",Amazon,,1.9345,0.000021,0.00025,2722,38,161330
938,"Latrubesse (PC), Li et al., 2015",Araguai at Aruana ,,1.3636,0.00015,0.0004,385,6,3200
939,"Latrubesse (PC), Li et al., 2015",Araguai at Luis Alves,,1.3333,0.0001,0.0003,507,6.6,3700
940,"Latrubesse (PC), Li et al., 2015",Araguai at Sao Felix,,1.4848,0.000098,0.0003,621,7.5,6000
941,"Latrubesse (PC), Li et al., 2015",Brahmaputra,,2.4727,0.000068,0.00025,3400,15,60000
942,"Latrubesse (PC), Li et al., 2015",Japura at Acanaui,,0.8727,0.000036,0.0004,1042,16,21000
943,"Latrubesse (PC), Li et al., 2015",Japura at Villa Bittencourt,,0.9318,0.000041,0.0004,1028,15,20000
944,"Latrubesse (PC), Li et al., 2015",Orinoco at Musinacio,,1.5818,0.00006,0.0004,1770,17.4,64600
945,"Latrubesse (PC), Li et al., 2015",Parana,,1.04,0.000044,0.0003,1320,11.7,17140
946,"Latrubesse (PC), Li et al., 2015",Parana at Corrientes,,1.0023,0.000049,0.0004,1490,13.5,27330
947,"Latrubesse (PC), Li et al., 2015",Parana at Curtiembre,,1.2703,0.000048,0.0003,1330,13.1,20500
948,"Latrubesse (PC), Li et al., 2015",Solimoes 1,,2.0848,0.000016,0.0002,1043,43,90000
949,"Latrubesse (PC), Li et al., 2015",Solimoes 2,,1.1564,0.000018,0.00025,3201,26.5,120000
950,"Latrubesse (PC), Li et al., 2015",Solimoes at Santo Antonio,,1.3394,0.000034,0.0003,2140,19.5,70000
951,"Latrubesse (PC), Li et al., 2015",Solimoes at Teresina,,1.3051,0.000038,0.0003,2160,17,60000
952,"Latrubesse (PC), Li et al., 2015",Upper Parana at Porto Rico,,3.7422,0.00011,0.0003,1150,16.84,12300
953,"Lawlor, 2004",Basin Creek near Yaak,70.97,0.1616,0.008,0.021,9.1,0.7,5.4
954,"Lawlor, 2004",Big Creek at Big Creek Ranger Station near Columbia Falls,212.64,0.0654,0.012,0.089,13.7,0.8,20.4
955,"Lawlor, 2004",Blacktail Creek near Yaak,22.43,0.09,0.026,0.07,6.4,0.4,2.3
956,"Lawlor, 2004",Boulder Creek at Maxville,184.67,0.0519,0.018,0.105,10.1,0.5,9.5
957,"Lawlor, 2004",Burke Gulch,16.83,1.8473,0.05,0.006,2.47,0.37,0.4
958,"Lawlor, 2004",Cayuse Creek near Trego,13.7,0.1369,0.035,0.031,2.7,0.2,0.5
959,"Lawlor, 2004",Clark Fork tributary near Drummond,11.94,11.7302,0.012,0.000062,2.7,0.1,1.7
960,"Lawlor, 2004",Clearwater River near Clearwater,893.55,0.0255,0.003,0.05,36.6,0.7,39.6
961,"Lawlor, 2004",Deep Creek near Fortine MT,48.95,0.119,0.011,0.028,4.3,0.5,2.1
962,"Lawlor, 2004",Deer Creek near Seely Lake,51.28,0.0448,0.008,0.0325,6.4,0.3,3.5
963,"Lawlor, 2004",Dry Creek near Superior,119.92,0.0606,0.013,0.052,7.3,0.4,4
964,"Lawlor, 2004",East Fork Timber Creek near Haugan,7.04,0.3394,0.014,0.005,3,0.2,0.2
965,"Lawlor, 2004",Edwards Gulch at Drummond,12.15,60.6061,0.031,0.000062,1.9,0.2,0.4
966,"Lawlor, 2004",Eightmile Creek near Florence,50.5,0.638,0.01,0.0057,4.3,0.6,1.6
967,"Lawlor, 2004",Flint Creek at Maxville,538.72,0.0519,0.003,0.028,13.7,0.8,9.8
968,"Lawlor, 2004",Flower Creek near Libby,28.75,0.1273,0.042,0.1,7.6,0.5,3.7
969,"Lawlor, 2004",Granite Creek near Libby,61.12,0.0793,0.024,0.11,10.4,0.6,7.4
970,"Lawlor, 2004",Hayes Creek near Missoula,10.77,0.6182,0.051,0.015,2.5,0.3,0.4
971,"Lawlor, 2004",Kootenai Creek near Stevensville,74.85,0.0691,0.047,0.165,9.1,0.4,19
972,"Lawlor, 2004",LITTLE BLACKFOOT RIVER NEAR GARRISON MT,1054.13,0.0552,0.003,0.027,17.37,0.82,25.97
973,"Lawlor, 2004",Lolo Creek above Sleeman Creek near Lolo,647.5,0.0152,0.004,0.08,17.4,0.5,32.3
974,"Lawlor, 2004",Marshall Creek near Missoula,14.58,0.1616,0.06,0.045,1.3,0.2,0.3
975,"Lawlor, 2004",Middle Fork Rock Creek near Philipsburg,318.57,0.0559,0.01,0.065,22.9,0.6,15.7
976,"Lawlor, 2004",Mill Creek above Bassoo Creek near Niarada,50.76,0.0878,0.028,0.058,5.8,0.3,1.9
977,"Lawlor, 2004",Mission Creek above reservoir near St. Ignatius,32.12,0.1939,0.016,0.035,11.9,0.7,13.6
978,"Lawlor, 2004",Monture Creek at Lolo National Forest boundary near Ovando,271.95,0.0364,0.004,0.04,22.3,0.6,32
979,"Lawlor, 2004","NEVADA CR AB RESERVOIR, NR HELMVILLE, MT",300.44,0.1239,0.004,0.009,11.58,0.46,5.52
980,"Lawlor, 2004",North Fork Lost Creek near Swan Lake,33.67,0.0226,0.01,0.215,7.9,0.8,6.8
981,"Lawlor, 2004",Racetrack Creek below Granite Creek near Anaconda,102.3,0.5711,0.007,0.0052,7.6,0.7,7.8
982,"Lawlor, 2004",Revais Creek below West Fork near Dixon,60.61,0.1061,0.035,0.1,6.7,0.5,5.9
983,"Lawlor, 2004",Richards Creek near Libby MT,24.6,0.0667,0.033,0.06,2.7,0.2,0.4
984,"Lawlor, 2004",Shaughnessy Creek near Libby,124.32,0.6364,0.049,0.014,3,0.3,0.8
985,"Lawlor, 2004",Skalkaho Creek near Hamilton,227.4,0.0455,0.02,0.16,10.1,0.6,10.6
986,"Lawlor, 2004",South Crow Creek near Ronan,19.61,0.146,0.053,0.11,5.5,0.5,5.6
987,"Lawlor, 2004",Trapper Creek near Conner,73.81,0.0909,0.015,0.06,14.9,0.6,12.5
988,"Lawlor, 2004",Valley Creek near Arlee,39.63,0.1515,0.03,0.06,4.6,0.5,1.7
989,"Lawlor, 2004",West Twin Creek near Bonner,18.98,0.2652,0.05,0.08,5.8,0.7,2.7
990,"Lawlor, 2004",White Pine Creek near Trout Creek,22.66,0.117,0.028,0.058,7.9,0.4,3.7
991,"Lawlor, 2004",Wolf Creek near Libby,559.44,0.0289,0.01,0.105,10.4,0.5,17.5
992,"Lawlor, 2004",Zulu Creek near Yaak,13.65,0.1026,0.022,0.039,4.3,0.3,1.2
993,"Lawlor, 2004; Li et al., 2015",Basin Creek,70.97,0.2709,0.014,0.021,9.14,0.67,5.41
994,"Lawlor, 2004; Li et al., 2015",Big Knife Creek,17.82,0.3237,0.033,0.0226,4.57,0.37,1.44
995,"Li, 2014; Johannesson et al., 1988; Kelly, 2019","MINNESOTA RIVER AT MANKATO, MN",,0.9455,0.0002,0.0006,105,4.68,570
996,"Lisle and Hilton, 1999; Seidl and Dietrich, 1992",ELDER C NR BRANSCOMB CA,43.77,0.1059,0.022,0.141,11,1.12,16.84
997,"Lisle, 1977","East Fork River, WY",,0.0196,0.0007,0.026,18,1.2,23
998,"Lotspeich, 2009","Aquia Creek near Garrisonville, VA",90.65,0.0543,0.005,0.0578,18.23,1.04,37.1
999,"Lotspeich, 2009","Big Lickinghole Creek Tributary near Ferncliff, VA",1.4,0.9236,0.004,0.0004,1.97,0.15,0.34
1000,"Lotspeich, 2009","Buffalo Creek near Hampden Sydney, VA",180.26,12.192,0.002,0.0001,13.81,1.01,32.85
1001,"Lotspeich, 2009","Buffalo River tributary near Amherst, VA",1.17,0.1163,0.015,0.0143,3.44,0.18,0.76
1002,"Lotspeich, 2009","Contrary Creek near Mineral, VA",14.45,0.0376,0.004,0.0216,15.33,0.34,4.84
1003,"Lotspeich, 2009","Falls Creek tributary near Victoria, VA",0.96,0.0604,0.006,0.0202,2.93,0.34,0.96
1004,"Lotspeich, 2009","Fine Creek at Fine Creek Mills, VA",58.02,2.3091,0.001,0.0002,13.87,0.76,24.15
1005,"Lotspeich, 2009","Mechums River near White Hall, VA",246.83,0.6876,0.001,0.0018,27.95,2.04,117.51
1006,"Lotspeich, 2009","North Fork Rivanna River near Earlysville, VA",279.72,0.1994,0.002,0.0113,29.38,1.86,100.52
1007,"Lotspeich, 2009","North Holiday Creek near Toga, VA",3.5,0.0688,0.007,0.0188,2.86,0.3,0.88
1008,"Lotspeich, 2009","North Meherrin River near Keysville, VA",23.47,0.0693,0.004,0.0224,8.9,0.64,8.58
1009,"Lotspeich, 2009","Powells Creek near Turbeville, VA",0.75,0.6394,0.009,0.0013,2.39,0.15,0.28
1010,"Lotspeich, 2009","South Anna River tributary no. 6 near Ashland, VA",0.85,0.1232,0.015,0.0135,2.76,0.18,0.57
1011,"Lotspeich, 2009","South Branch Chopawamsic Creek near Garrisonville, VA",6.37,2.4938,0.003,0.0004,6.37,0.55,7.7
1012,"Lotspeich, 2009","S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA",19.74,0.0307,0.002,0.0241,8.66,0.61,5.8
1013,"Lotspeich, 2009","Sandy River near Danville, VA",287.49,0.0441,0.004,0.0904,41.15,1.65,197.65
1014,"Lotspeich, 2009","Smith River at Smith River Church near Woolwine, VA",68.12,0.0551,0.006,0.0503,20.91,0.76,32.28
1015,"Magner and Steffen, 2000",Blue Earth R near Rapidan,6293.68,,0.0004,,45.72,1.83,169.9
1016,"Magner and Steffen, 2000",Chippewa River near Milan,4869.18,,0.0006,,31.7,1.83,37.94
1017,"Magner and Steffen, 2000",Cobb R trib near Beauford,21.24,,0.0015,,4.57,0.91,2.78
1018,"Magner and Steffen, 2000",Cottonwood River at New Ulm,3366.99,,0.0009,,31.09,1.68,96.28
1019,"Magner and Steffen, 2000",Cottonwood River at Springfield,2012.42,,0.0011,,24.38,1.22,31.15
1020,"Magner and Steffen, 2000",Cottonwood trib near Balaton,2.33,,0.0066,,0.91,0.3,0.57
1021,"Magner and Steffen, 2000",Hassel Creek near Clontarf,18.65,,0.0072,,3.05,0.43,1.1
1022,"Magner and Steffen, 2000",LeSueur R near Rapidan,2874.89,,0.0008,,44.2,1.74,93.45
1023,"Magner and Steffen, 2000",LeSueur Trib near Mankato,0.26,,0.0195,,0.82,0.18,0.28
1024,"Magner and Steffen, 2000",Little Chippewa near Starbuck,248.64,,0.0012,,7.62,0.73,2.15
1025,"Magner and Steffen, 2000",Little Cottonwood R.near Courtland,440.3,,0.0013,,12.19,0.82,11.33
1026,"Magner and Steffen, 2000",Little Cottonwood R.near Jeffers,25.9,,0.003,,3.05,0.52,2.83
1027,"Magner and Steffen, 2000",Maple R near Rapidan,875.42,,0.0005,,27.43,1.16,53.8
1028,"Magner and Steffen, 2000",Mid Br. Rush River near Gaylord,173.53,,0.0006,,15.85,1.22,11.61
1029,"Magner and Steffen, 2000",NBYM near Ivanhoe,38.07,,0.0016,,3.66,0.49,0.99
1030,"Magner and Steffen, 2000",Outlet Creek trib near Starbuck,1.55,,0.01,,0.61,0.37,0.24
1031,"Magner and Steffen, 2000",Rush River near Henderson,1036,,0.0012,,22.86,1.13,29.73
1032,"Magner and Steffen, 2000",Shakopee,797.72,,0.0007,,15.24,1.22,12.74
1033,"Magner and Steffen, 2000",Spring Creek near Montevideo,40.92,,0.0011,,4.57,0.46,2.27
1034,"Magner and Steffen, 2000",Spring Creek near Sleepy Eye,85.47,,0.0005,,8.53,0.7,4.25
1035,"Magner and Steffen, 2000",Spring Creek trib near Sleepy Eye,10.88,,0.0014,,3.05,0.46,0.68
1036,"Magner and Steffen, 2000",Tributary to the Yellow Medicine River near Porter,9.58,,0.0057,,1.22,0.4,2.1
1037,"Magner and Steffen, 2000",Tributary to the Yellow Medicine River near Wilno,0.85,,0.016,,0.91,0.21,0.37
1038,"Magner and Steffen, 2000",Yellow Medicine R. near Granite,1719.75,,0.0016,,20.73,1.13,25.23
1039,"Magner and Steffen, 2000",Yellow Medicine SB at Minneota,297.85,,0.0023,,14.33,0.55,8.5
1040,"Makaske 1998, Kleinhans and van den Berg, (2011)","Columbia at Castledale 1, BC, Canada",,0.8555,0.000104,0.000431,56,5.85,193.5
1041,"Makaske 1998, Kleinhans and van den Berg, (2011)","Columbia at Castledale 2, BC, Canada",,0.7213,0.000113,0.000301,18.6,3.17,14.8
1042,"McCandless, 2003",Bear Creek at Forest Park,26.94,0.0895,0.013,0.044,5.3,0.5,7.2
1043,"McCandless, 2003",Bear Creek at Friendsville,126.65,0.0754,0.021,0.152,14.2,0.9,32.1
1044,"McCandless, 2003",Big Piney Run near Salisbury,63.45,0.0183,0.004,0.119,13,0.9,21.7
1045,"McCandless, 2003",Casselman River at Grantsville,161.87,0.0282,0.004,0.086,25.8,1,47.8
1046,"McCandless, 2003",Crabtree Creek near Swanton,43.25,0.0901,0.028,0.113,7.4,0.6,12.5
1047,"McCandless, 2003",Evitts Creek near Centerville,78.22,0.0223,0.006,0.114,8.3,0.7,16.9
1048,"McCandless, 2003",NB Potomac River at Steyer,189.33,0.0346,0.003,0.084,23.7,1.6,76.9
1049,"McCandless, 2003",Savage River near Barton,127.17,0.0082,0.003,0.222,15.4,1,36.1
1050,"McCandless, 2003",Savage River near Frostburg,3.88,0.0213,0.013,0.111,2.9,0.3,1.1
1051,"McCandless, 2003",Sideling Hill Creek near Bellegrove,264.18,0.0713,0.004,0.051,24,1.5,77.2
1052,"McCandless, 2003",Toliver Run Trib. near Hoyes Run,1.29,1.3939,0.023,0.002,2,0.2,0.7
1053,"McCandless, 2003",Youghiogheny River Trib. Near Friendsville,0.52,0.1964,0.047,0.029,2,0.2,0.2
1054,"McCandless, 2003",Beaverdam Branch at Houston DE,,0.6285,0.0007,0.00027,4.5,0.4,1
1055,"McCandless, 2003",Gravel Run at Beulah MD,,3.6364,0.0014,0.00014,5.5,0.6,1.8
1056,"McCandless, 2003",Mill Creek near Skipton MD,,0.7163,0.0013,0.00033,8.2,0.3,1.1
1057,"McCandless, 2003",Sallie Harris Creek near Carmichael MD,,0.5742,0.0002,0.00019,5.3,0.9,2.2
1058,"McCandless and Everett, 2002","Baisman Run at Broadmoor, Md.",3.81,0.5181,0.016,0.00947,5.76,0.51,3.24
1059,"McCandless and Everett, 2002","Basin Run at Liberty Grove, Md.",13.75,0.1998,0.0059,0.01031,15.58,0.58,17.38
1060,"McCandless and Everett, 2002",Beaver Run near Finksburg,36.26,0.0662,0.005,0.03663,12.3,0.8,17.8
1061,"McCandless and Everett, 2002",Beaverdam Run at Cockeysville,54.13,0.9235,0.0008,0.00063,13.2,1.2,18.8
1062,"McCandless and Everett, 2002",Big Pipe Creek at Bruceville,264.18,0.0702,0.0013,0.0202,26.3,1.8,75.3
1063,"McCandless and Everett, 2002","Deer Creek at Rocks, Md.",244.5,0.0956,0.0021,0.01904,30.78,1.43,74.02
1064,"McCandless and Everett, 2002",Hawlings River near Sandy Spring,69.93,4.4444,0.0022,0.00036,13.7,1.2,29.2
1065,"McCandless and Everett, 2002",Jones Falls at Sorrento,65.27,0.1259,0.0016,0.0077,16.5,1,25.9
1066,"McCandless and Everett, 2002",Long Green Creek at Glen Arm,24.35,0.0452,0.0165,0.13281,13.3,0.6,10.3
1067,"McCandless and Everett, 2002",Morgan Run at Louisville,72.52,0.0985,0.0052,0.032,15.8,1,29
1068,"McCandless and Everett, 2002",Northeast Creek at Leslie,62.94,0.068,0.012,0.10694,17.7,1,37.8
1069,"McCandless and Everett, 2002","PATUXENT RIVER NEAR UNITY, MD",90.13,0.1082,0.0021,0.014,15.85,1.19,29.59
1070,"McCandless and Everett, 2002",Piney Creek at Taneytown,81.07,0.125,0.0025,0.01454,20.1,1.2,39.3
1071,"McCandless and Everett, 2002",Seneca Creek at Dawsonville,261.59,0.5397,0.0014,0.00283,20.4,1.8,72.5
1072,"McCandless and Everett, 2002",Winters Run near Benson,90.13,0.1551,0.0052,0.02642,20.4,1.3,55.5
1073,"McCandless and Everett, 2002; Li et al., 2015","Bennett Creek at Park Mills, Md.",162.65,0.099,0.0019,0.01695,25.36,1.46,52.87
1074,"McCandless and Everett, 2002; Li et al., 2015","Big Elk Creek at Elk Mills, Md.",136.23,0.0635,0.0014,0.01797,23.62,1.34,59.44
1075,"McCandless and Everett, 2002; Li et al., 2015","Cranberry Branch near Westminster, Md.",8.81,0.4592,0.0061,0.004,5.82,0.5,4.6
1076,"McCandless and Everett, 2002; Li et al., 2015","Little Falls at Blue Mount, Md.",137.01,0.9944,0.0019,0.00174,20.73,1.5,47.4
1077,"McCandless and Everett, 2002; Li et al., 2015","Little Patuxent River at Guilford, Md.",98.42,0.6557,0.0005,0.00071,15.18,1.54,29
1078,"McCandless and Everett, 2002; Li et al., 2015","Slade Run near Glyndon, Md.",5.41,0.3007,0.012,0.01069,4.03,0.44,3.25
1079,"McCandless and Everett, 2002; Li et al., 2015",Western Run at Western Run,154.88,0.4309,0.0024,0.00428,22.98,1.27,43.35
1080,"McCandless, 2003; Li et al., 2015","Sawpit Run near Oldtown, Md.",13.21,0.1919,0.012,0.01386,10.55,0.37,6.22
1081,"McCandless, 2003; Li et al., 2015","Faulkner Branch at Federalsburg, Md.",,1.195,0.0023,0.00064,5.36,0.55,2.43
1082,"McCandless, 2003","NANTICOKE RIVER NEAR BRIDGEVILLE, DE",,0.9091,0.0004,0.00032,16.4,1.2,9.6
1083,"McCandless, 2003","NASSAWANGO CREEK NEAR SNOW HILL, MD",,0.2442,0.0003,0.00067,11.1,0.9,6.3
1084,"McCandless, 2003","SIDELING HILL CREEK NEAR BELLEGROVE, MD",264.18,0.0708,0.004,0.051,35.75,1.49,77.19
1085,"McCandless, 2003","Ditch Run near Hancock, Md.",12.43,0.1593,0.011,0.02169,9.05,0.52,5.18
1086,"McCandless, 2003","Glebe Branch at Valley Lee, Md.",,0.1919,0.01,0.00693,2.26,0.22,0.34
1087,"McCandless, 2003","MATTAWOMAN CREEK NEAR POMONKEY, MD",,0.0642,0.0014,0.01321,11.3,1,15.3
1088,"McCandless, 2003","MURDERKILL RIVER NEAR FELTON, DE",,0.1697,0.0004,0.001,10.2,0.7,2.8
1089,"McCandless, 2003","ST CLEMENT CREEK NEAR CLEMENTS, MD",,2.0979,0.001,0.00026,9.2,0.9,7.7
1090,"McCandless, 2003","St. Mary's River at Great Mills, Md.",,0.0617,0.0014,0.01311,11.83,0.95,13.16
1091,"McCandless, 2003","WESTERN BRANCH AT UPPER MARLBORO, MD",,0.7273,0.0002,0.00025,17.3,1.5,19.1
1092,"McDonald et al. 1993, Kleinhans and van den Berg, 2011","Big Fork at Koochiching County, MN",,0.1092,0.000632,0.006,54.9,1.71,154.9
1093,"McDonald et al. 1993, Kleinhans and van den Berg, 2011","Cottonwood at Brown County, MN",,0.6873,0.0006,0.001,24.4,1.89,65
1094,"McDonald et al. 1993, Kleinhans and van den Berg, 2011","Kanaranzi at Rock County, MN",,1.3387,0.00071,0.00045,7.6,1.4,23.4
1095,"McDonald et al. 1993, Kleinhans and van den Berg, 2011","Minesota River at Scott County, MN",,0.5455,0.0001,0.0005,88.4,4.5,427
1096,"McDonald et al. 1993, Kleinhans and van den Berg, 2011","Minnesota River at Nicollet, MN",,1.3644,0.00024,0.0005,42.7,4.69,313.9
1097,"McDonald et al. 1993, Kleinhans and van den Berg, 2011","Mississippi 1 at Aitkin County, MN",,0.2291,0.0001,0.0005,56.4,1.89,73.1
1098,"McDonald et al. 1993, Kleinhans and van den Berg, 2011","Mississippi 2 at Aitkin County, MN",,0.2073,0.0001,0.0005,67.1,1.71,73.1
1099,"McDonald et al. 1993, Kleinhans and van den Berg, 2011","Root River at Houston County, MN",,2.3434,0.0006,0.00045,33.5,2.9,303
1100,"McDonald et al. 1993, Kleinhans and van den Berg, 2011","Rum River at Isanti County, MN",,1.337,0.00026,0.00033,25.9,2.8,90.7
1101,"McDonald et al. 1993, Kleinhans and van den Berg, 2011","Zumbro River at Wabasha County, MN",,1.2487,0.00053,0.0008,48.8,3.11,252
1102,"Messinger, 2009","Anglins Creek near Nallen, WV",60.86,0.0786,0.001,0.010668,17.89,1.38,23.53
1103,"Messinger, 2009","Anthony Creek near Anthony, WV",372.96,0.0093,0.002,0.178308,41.45,1.37,176.13
1104,"Messinger, 2009","Big Sandy Creek near Rockville, WV",518,0.0126,0.007,0.545592,49.99,1.62,210.39
1105,"Messinger, 2009","Blackwater River at Davis, WV",222.48,0.0028,0.001,0.370332,33.22,1.71,46.16
1106,"Messinger, 2009","Buck Run at Leopold, WV",7.54,0.0331,0.005,0.036576,10.91,0.4,2.86
1107,"Messinger, 2009","Camp Creek near Camp Creek, WV",82.88,0.0199,0.007,0.166116,27.71,0.78,64
1108,"Messinger, 2009","Cranberry River near Richwood, WV",208.24,0.0249,0.008,0.21336,32.92,1.1,48.7
1109,"Messinger, 2009","East Fork Twelvepole Creek near Dunlow, WV",97.12,0.0115,0.001,0.056388,20.73,1.07,27.24
1110,"Messinger, 2009","Middle Fork at Audra, WV",383.32,0.0046,0.004,0.696468,44.81,1.33,101.94
1111,"Messinger, 2009","Panther Creek near Panther, WV",80.29,0.0213,0.008,0.21336,17.16,0.94,33.98
1112,"Messinger, 2009","Payne Branch near Oakvale, WV",22.38,0.0404,0.026,0.193548,11.67,0.5,9.23
1113,"Messinger, 2009","Rock Creek near Danville, WV",31.6,0.0403,0.004,0.071628,12.62,1.19,20.33
1114,"Messinger, 2009","Second Creek near Second Creek, WV",209.27,0.0215,0.005,0.126492,34.75,0.9,74.19
1115,"Messinger, 2009","West Fork Little Kanawha River near Rocksdale, WV",530.95,0.0427,0.001,0.039624,46.94,2.79,127.99
1116,"Messinger, 2009","Williams River at Dyer, WV",331.52,0.0042,0.002,0.44196,45.11,1.53,112.13
1117,"Messinger, 2009","KINGS CREEK AT WEIRTON, WV",126.65,0.0194,0.004,0.131064,28.8,1.05,55.5
1118,"Messinger, 2009","LITTLE KANAWHA RIVER NR WILDCAT, WV",290.08,0.0172,0.002,0.09144,48.77,1.3,91.75
1119,"Messinger, 2009","Sand Run near Buckhannon, WV",37.04,0.019,0.006,0.105156,15.64,0.55,11.33
1120,"Metcalf, 2004",Alaqua Creek near Portland FL,216.78,12.3232,0.004,0.00048,15.2,2.44,16.76
1121,"Metcalf, 2004",Barnetts Creek near Thomasville GA,38.85,0.5013,0.0008,0.00059,4.5,0.61,1.27
1122,"Metcalf, 2004",Bear Creek near Youngstown FL,174.05,2.3947,0.001,0.00041,14.4,1.62,12.43
1123,"Metcalf, 2004",Big Coldwater Creek near Milton FL,613.83,1.7697,0.0006,0.0003,35.5,1.46,37.66
1124,"Metcalf, 2004",Little Double Bridges Creek near Enterprise AL,55.43,2.4372,0.00058,0.00015,10.4,1.04,6.14
1125,"Metcalf, 2004",Little River near Ashburn GA,22.01,0.0735,0.0002,0.00061,7.1,0.37,0.65
1126,"Metcalf, 2004",Little River near Midway FL,789.95,1.9366,0.0012,0.00086,29.1,2.29,35.68
1127,"Metcalf, 2004",Newell Branch near Ashburn GA,16.83,0.1923,0.00047,0.0004,6.6,0.27,0.48
1128,"Metcalf, 2004",Newell Branch near Worth GA,2.33,0.0169,0.00011,0.00071,3.7,0.18,0.2
1129,"Metcalf, 2004",Shoal River Near Crestview FL,1227.66,3.2485,0.0012,0.00045,40.6,2.01,75.04
1130,"Metcalf, 2004",Tired Creek near Cairo GA,155.4,0.2004,0.00017,0.00055,10.9,1.07,7.36
1131,"Metcalf, 2004",UT to Warrior Creek near Norman Park GA,,0.3907,0.0026,0.00121,3.3,0.3,0.59
1132,"Metcalf, 2004","BIG COLDWATER CREEK NR MILTON, FLA.",613.83,1.7697,0.0006,0.0003,35.5,1.46,37.66
1133,"Metcalf, 2004",FISH RIVER NEAR SILVER HILL AL,143.23,0.4278,0.00018,0.00038,14.5,1.49,14.95
1134,"Metcalf et al., 2009, Li et al., 2015","ECONFINA RIVER NEAR PERRY, FLA.",512.82,0.4431,0.0002,0.00061,11.7,2.23,10.62
1135,"Metcalf, 2004; Li et al., 2015",Bear Creek near Youngstown,174.05,0.1706,0.00023,0.00132,14.45,1.62,12.43
1136,"Metcalf, 2004; Li et al., 2015",Brushy Creek near Walnut Hill,126.91,0.3403,0.00078,0.00199,11.7,1.43,9.97
1137,"Metcalf, 2004; Li et al., 2015",Deep Creek near Suwannee Valley,229.47,0.3282,0.00021,0.00065,10.09,1.68,11.27
1138,"Metcalf, 2004; Li et al., 2015",Fenholloway River near Foley,155.4,1.2023,0.0008,0.00059,6.1,1.46,7.02
1139,"Metcalf, 2004; Li et al., 2015",Juniper Creek near Niceville,71.48,0.3959,0.00056,0.00081,11.03,0.94,7.19
1140,"Metcalf, 2004; Li et al., 2015",New River near Lake Butler,494.69,0.2569,0.00017,0.00055,14.17,1.37,8.81
1141,"Metcalf, 2004; Li et al., 2015",Shoal River near Mossy Head,318.57,0.4397,0.00051,0.00135,18.04,1.92,37.1
1142,"Minear and Wright, 2013",MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,468.79,0.25,0.011,0.064,34,2.4,120
1143,"Mistak and Stille, 2008",Brule River near Florence WI,899.81,0.0161,0.0009,0.0339,33.9,1,38.2
1144,"Mistak and Stille, 2008",Iron River at Caspian MI,238.54,0.1933,0.0028,0.0079,14.9,0.9,6.4
1145,"Mistak and Stille, 2008",Peshekee River near Champion MI,344.47,0.05,0.0018,0.0371,40.9,1.7,45.3
1146,"Mistak and Stille, 2008",Pine Creek near Iron Mountain MI,43.51,4.3636,0.0012,0.0001,14.2,0.6,1.4
1147,"Mistak and Stille, 2008",Sturgeon River near Foster City MI,613.83,0.1818,0.0002,0.0008,32.6,1.2,25.2
