# Min elev (m),Max elev (m),Area (km2),Winter balance (m/y),Summer balance (m/y)
# 
1.850000000000000000e+03 1.865000000000000000e+03 8.999999999999999667e-02 2.700000000000000178e+00 -1.449999999999999956e+00
1.800000000000000000e+03 1.850000000000000000e+03 3.930000000000000160e+00 3.450000000000000178e+00 -1.500000000000000000e+00
1.750000000000000000e+03 1.800000000000000000e+03 4.030000000000000249e+00 3.600000000000000089e+00 -1.600000000000000089e+00
1.700000000000000000e+03 1.750000000000000000e+03 3.459999999999999964e+00 3.500000000000000000e+00 -1.750000000000000000e+00
1.650000000000000000e+03 1.700000000000000000e+03 1.939999999999999947e+00 3.200000000000000178e+00 -1.899999999999999911e+00
1.600000000000000000e+03 1.650000000000000000e+03 7.500000000000000000e-01 2.700000000000000178e+00 -2.100000000000000089e+00
1.550000000000000000e+03 1.600000000000000000e+03 5.899999999999999689e-01 2.350000000000000089e+00 -2.299999999999999822e+00
1.500000000000000000e+03 1.550000000000000000e+03 5.699999999999999512e-01 1.949999999999999956e+00 -2.500000000000000000e+00
1.450000000000000000e+03 1.500000000000000000e+03 2.899999999999999800e-01 1.729999999999999982e+00 -2.700000000000000178e+00
1.400000000000000000e+03 1.450000000000000000e+03 1.900000000000000022e-01 1.560000000000000053e+00 -2.950000000000000178e+00
1.350000000000000000e+03 1.400000000000000000e+03 1.000000000000000056e-01 1.389999999999999902e+00 -3.200000000000000178e+00
1.300000000000000000e+03 1.350000000000000000e+03 1.000000000000000056e-01 1.219999999999999973e+00 -3.450000000000000178e+00
1.250000000000000000e+03 1.300000000000000000e+03 2.700000000000000178e-01 1.050000000000000044e+00 -3.700000000000000178e+00
1.200000000000000000e+03 1.250000000000000000e+03 3.599999999999999867e-01 8.000000000000000444e-01 -3.950000000000000178e+00
1.150000000000000000e+03 1.200000000000000000e+03 2.800000000000000266e-01 5.500000000000000444e-01 -4.250000000000000000e+00
1.100000000000000000e+03 1.150000000000000000e+03 1.100000000000000006e-01 2.999999999999999889e-01 -4.549999999999999822e+00
1.020000000000000000e+03 1.100000000000000000e+03 5.000000000000000278e-02 -5.000000000000000278e-02 -4.900000000000000355e+00
