Depth,Temperature
12.19,-8.996
15.24,-9.035
18.29,-9.043
21.34,-9.046
24.38,-9.048
27.43,-9.05
30.48,-9.037
33.53,-8.994
36.58,-8.95
39.62,-8.907
42.67,-8.864
45.72,-8.808
48.77,-8.757
51.82,-8.723
54.86,-8.669
57.91,-8.593
60.96,-8.523
64.01,-8.438
67.06,-8.357
70.1,-8.288
73.15,-8.21
76.2,-8.117
79.25,-8.016
82.3,-7.925
85.34,-7.824
88.39,-7.745
91.44,-7.644
94.49,-7.532
97.54,-7.438
100.58,-7.338
103.63,-7.22
106.68,-7.09
109.73,-6.94
112.78,-6.809
115.82,-6.682
118.87,-6.579
121.92,-6.455
124.97,-6.287
128.02,-6.133
131.06,-6.01
134.11,-5.874
137.16,-5.719
140.21,-5.583
143.26,-5.465
146.3,-5.331
149.35,-5.21
152.4,-5.066
155.45,-4.956
158.5,-4.825
161.54,-4.682
164.59,-4.547
167.64,-4.436
170.69,-4.33
173.74,-4.221
176.78,-4.082
179.83,-3.967
182.88,-3.853
185.93,-3.734
188.98,-3.612
192.02,-3.479
195.07,-3.35
198.12,-3.217
201.17,-3.088
204.22,-2.934
207.26,-2.805
210.31,-2.672
213.36,-2.572
216.41,-2.499
219.46,-2.428
222.5,-2.32
225.55,-2.222
228.6,-2.148
231.65,-2.061
234.7,-1.918
237.74,-1.841
240.79,-1.769
243.84,-1.702
246.89,-1.623
249.94,-1.539
252.98,-1.407
256.03,-1.307
259.08,-1.191
262.13,-1.06
265.18,-0.989
268.22,-0.913
271.27,-0.829
274.32,-0.757
277.37,-0.693
280.42,-0.62
283.46,-0.561
286.51,-0.494
289.56,-0.244
292.61,-0.145
295.66,-0.048
298.7,0.078
301.75,0.15
304.8,0.374
307.85,0.738
310.9,0.872
313.94,0.984
316.99,1.098
320.04,1.221
323.09,1.36
326.14,1.47
329.18,1.613
332.23,1.736
335.28,1.872
338.33,2.005
341.38,2.139
344.42,2.25
347.47,2.381
350.52,2.5
353.57,2.641
356.62,2.758
359.66,2.889
362.71,3.009
365.76,3.127
368.81,3.247
371.86,3.403
374.9,3.519
377.95,3.672
381,3.806
384.05,3.927
387.1,4.073
390.14,4.197
393.19,4.327
396.24,4.453
399.29,4.57
402.34,4.689
405.38,4.818
408.43,4.952
411.48,5.082
414.53,5.202
417.58,5.339
420.62,5.449
423.67,5.579
426.72,5.687
429.77,5.808
432.82,5.931
451.1,6.728
454.15,6.84
457.2,6.972
460.25,7.096
463.3,7.215
466.34,7.335
469.39,7.461
472.44,7.588
475.49,7.717
478.54,7.848
481.58,7.994
484.63,8.123
487.68,8.247
490.73,8.388
493.78,8.516
496.82,8.642
499.87,8.767
502.92,8.892
505.97,9.01
509.02,9.138
512.07,9.264
515.11,9.388
518.16,9.51
521.21,9.616
524.26,9.74
527.31,9.843
530.35,9.971
533.4,10.095
536.45,10.218
539.5,10.335
542.55,10.447
545.59,10.575
548.64,10.691
551.69,10.817
554.74,10.947
557.79,11.079
560.83,11.205
563.88,11.343
566.93,11.477
569.98,11.578
573.03,11.676
576.07,11.774
579.12,11.965
582.17,12.145
585.22,12.369
588.27,12.437
591.31,12.527
594.36,12.623
597.41,12.695
600.46,13
603.51,13.319
606.55,13.378
609.6,13.569
612.65,13.747
615.7,13.858
618.75,13.974
621.79,14.079
624.84,14.268
627.89,14.449
630.94,14.616
633.99,14.757
637.03,14.895
640.08,15.04
643.13,15.199
646.18,15.346
649.23,15.521
652.27,15.648
655.32,15.795
658.37,15.927
661.42,16.045
664.47,16.16
667.51,16.288
670.56,16.393
673.61,16.502
676.66,16.617
679.71,16.745
682.75,16.855
685.8,17.008
688.85,17.122
691.9,17.239
694.95,17.37
697.99,17.492
701.04,17.623
704.09,17.758
707.14,17.884
